Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree,dev-other,6.6,6.60,5.5,0.5,0.6,0.19994803655697954,0.021108825370367654,0.2210568619273472
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM,dev-other,4.9,4.89,4.0,0.4,0.6,0.19522229007732272,0.5150640599365306,0.7102863500138533
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.0_elm0.6,dev-other,5.0,4.99,4.0,0.4,0.6,0.22699448833479574,1.3715297366490926,1.5985242249838882
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.0_elm0.7,dev-other,4.9,4.93,3.9,0.4,0.7,0.18559846888049508,0.8796815382671557,1.0652800071476507
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.0_elm0.8,dev-other,4.9,4.92,3.7,0.3,0.9,0.21211278108684928,0.9762982365137585,1.1884110176006077
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.0_elm0.9,dev-other,5.0,4.99,3.6,0.3,1.0,0.21464414867378995,0.9168313756166571,1.131475524290447
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.0_elm1.0,dev-other,5.1,5.09,3.6,0.3,1.2,0.21874682783805677,0.8716177037486026,1.0903645315866592
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.0_elm1.1,dev-other,5.5,5.46,3.5,0.3,1.7,0.2151784004586625,0.8615639767756463,1.0767423772343088
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.0_elm1.2,dev-other,5.9,5.90,3.4,0.3,2.2,0.215424189603254,0.8159749451562472,1.0313991347595013
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.1_elm0.6,dev-other,5.0,4.96,4.1,0.4,0.5,0.24923609173586672,1.4216730326567113,1.6709091243925782
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.1_elm0.7,dev-other,4.9,4.90,4.0,0.4,0.6,0.21299739865351708,1.114325183484341,1.327322582137858
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.1_elm0.8,dev-other,4.9,4.84,3.9,0.4,0.7,0.19301621483602457,0.9439523206731054,1.1369685355091301
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.1_elm0.9,dev-other,4.8,4.79,3.7,0.3,0.8,0.24226431862723538,1.1921362525724926,1.4344005711997279
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.1_elm1.0,dev-other,4.9,4.88,3.6,0.3,0.9,0.21730018733541895,0.947993819124301,1.16529400645972
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.1_elm1.1,dev-other,5.1,5.03,3.6,0.3,1.2,0.20318048233479052,0.8509686031282028,1.0541490854629934
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.1_elm1.2,dev-other,5.3,5.33,3.5,0.3,1.6,0.20654689003016483,0.8339077661970382,1.040454656227203
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.2_elm0.6,dev-other,4.9,4.92,4.1,0.4,0.5,0.20902535201000474,1.1561566782293728,1.3651820302393776
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.2_elm0.7,dev-other,4.9,4.90,4.0,0.4,0.5,0.21436218295349632,1.1505814729527186,1.3649436559062151
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.2_elm0.8,dev-other,4.9,4.89,4.0,0.4,0.6,0.22897264154098496,1.3535456942100186,1.5825183357510035
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.2_elm0.9,dev-other,4.8,4.80,3.8,0.3,0.7,0.21086769936694308,0.9758782969791444,1.1867459963460874
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.2_elm1.0,dev-other,4.8,4.77,3.7,0.3,0.8,0.22140680534817472,0.9973618319799181,1.2187686373280928
ffnn_transducer_qat_encoder_bpe_param_sync__recog_lexfree_bpe-LSTM_ilm0.2_elm1.1,dev-other,4.8,4.82,3.6,0.3,0.9,0.20530151262230098,0.8533238364080962,1.0586253490303972
