Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
ffnn_transducer_qat_encoder__recog_lexfree,dev-other,6.5,6.45,5.4,0.5,0.6,0.18637274451713942,0.019044292377922382,0.2054170368950618
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,dev-other,4.7,4.69,3.8,0.3,0.6,0.21453864651281376,0.6540704476121048,0.8686090941249185
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.0_elm0.6,dev-other,5.0,4.96,4.0,0.4,0.7,0.21003596966137839,1.2386745789302442,1.4487105485916227
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.0_elm0.7,dev-other,4.9,4.90,3.8,0.3,0.8,0.2204357291192782,1.1887589443697695,1.4091946734890477
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.0_elm0.8,dev-other,5.0,5.00,3.7,0.3,1.0,0.21161396475839073,1.068726984317793,1.2803409490761837
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.0_elm0.9,dev-other,5.2,5.14,3.6,0.3,1.2,0.2128877608442033,1.055334227902426,1.2682219887466293
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.0_elm1.0,dev-other,5.6,5.54,3.6,0.3,1.7,0.2041895227520242,0.9357686018695592,1.1399581246215835
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.0_elm1.1,dev-other,6.1,6.04,3.5,0.3,2.2,0.20988610895935322,0.9043169015389357,1.114203010498289
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.0_elm1.2,dev-other,6.7,6.72,3.5,0.3,3.0,0.1975225081206889,0.8244795780139613,1.0220020861346502
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.1_elm0.6,dev-other,4.8,4.81,3.9,0.4,0.5,0.2089255805712611,1.2798973017583817,1.4888228823296428
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.1_elm0.7,dev-other,4.8,4.78,3.9,0.3,0.6,0.2286316070405669,1.3567204241969657,1.5853520312375324
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.1_elm0.8,dev-other,4.8,4.77,3.8,0.3,0.7,0.2146855301839045,1.221462909581637,1.4361484397655413
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.1_elm0.9,dev-other,4.9,4.85,3.7,0.3,0.9,0.21369718888067812,1.0986669298071476,1.3123641186878259
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.1_elm1.0,dev-other,5.0,4.99,3.6,0.3,1.1,0.20911395268430683,1.0697257514617269,1.2788397041460338
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.1_elm1.1,dev-other,5.3,5.33,3.6,0.3,1.5,0.22064244131839114,1.0553111244934743,1.2759535658118655
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.1_elm1.2,dev-other,5.8,5.74,3.6,0.3,1.9,0.24280969000445055,1.1256998834841732,1.3685095734886237
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.2_elm0.6,dev-other,4.8,4.81,4.0,0.4,0.5,0.21988304549548482,1.4005802053351561,1.6204632508306411
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.2_elm0.7,dev-other,4.7,4.71,3.9,0.3,0.5,0.2094687612504895,1.2347911425129652,1.4442599037634547
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.2_elm0.8,dev-other,4.7,4.66,3.8,0.3,0.6,0.21159508562915808,1.1862522029335192,1.3978472885626771
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.2_elm0.9,dev-other,4.7,4.69,3.7,0.3,0.7,0.2086442134914586,1.1073483788325293,1.3159925923239881
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.2_elm1.0,dev-other,4.8,4.79,3.7,0.3,0.8,0.2132603644819163,1.062328961784411,1.2755893262663272
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.2_elm1.1,dev-other,5.0,4.94,3.7,0.3,1.0,0.21416195692784204,1.0731565758531683,1.2873185327810102
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.2_elm1.2,dev-other,5.2,5.21,3.6,0.3,1.4,0.21545731091238726,0.9733807811775527,1.18883809208994
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.3_elm0.6,dev-other,4.9,4.84,4.0,0.4,0.5,0.2096788731902657,1.3856222449238618,1.5953011181141274
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.3_elm0.7,dev-other,4.8,4.75,3.9,0.3,0.5,0.22086916083180685,1.3319474625636714,1.5528166233954783
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM_ilm0.3_elm0.8,dev-other,4.7,4.67,3.9,0.3,0.5,0.2145161345977823,1.229666809560313,1.4441829441580951
