Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.0_elm0.6,dev-other,6.8,6.75,3.8,0.3,2.7,0.23628278119818932,1.788396275802495,2.024679057000684
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.0_elm0.7,dev-other,8.2,8.14,3.6,0.3,4.2,0.22143854096614068,1.4921886186401607,1.7136271596063013
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.0_elm0.8,dev-other,9.7,9.65,3.5,0.3,5.9,0.22761982639752615,1.4513438286473532,1.6789636550448794
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.0_elm0.9,dev-other,12.0,11.98,3.5,0.3,8.3,0.2208443494408988,1.2868323034285931,1.5076766528694918
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.0_elm1.0,dev-other,14.3,14.32,3.5,0.2,10.6,0.2430516318109309,1.30472662775644,1.547778259567371
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.0_elm1.1,dev-other,16.5,16.48,3.5,0.2,12.8,0.23324082569880797,1.2681469052850627,1.5013877309838708
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.0_elm1.2,dev-other,19.7,19.69,3.7,0.2,15.9,0.21787494615587807,1.0904091421732498,1.3082840883291278
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.1_elm0.6,dev-other,5.7,5.69,3.9,0.4,1.5,0.23076085753671194,1.9001939372275203,2.130954794764232
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.1_elm0.7,dev-other,6.3,6.24,3.8,0.4,2.1,0.23862732257834715,1.814028447741748,2.0526557703200954
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.1_elm0.8,dev-other,7.6,7.56,3.6,0.3,3.6,0.22223110731430748,1.5545238066655582,1.7767549139798657
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.1_elm0.9,dev-other,8.9,8.90,3.5,0.3,5.1,0.21674091415617258,1.4090767686199197,1.6258176827760922
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.1_elm1.0,dev-other,10.9,10.87,3.5,0.3,7.2,0.23556861136875995,1.3832484144518893,1.6188170258206491
full_ctx_transducer_qat_encoder_param_sync_bpe__recog_lexfree_bpe-LSTM_ilm0.1_elm1.1,dev-other,12.8,12.73,3.4,0.2,9.1,0.23876951674104518,1.3744114939590835,1.6131810107001288
