                                                   Experiments |   2 corpus | 3 WER | 4 Del | 5 Ins | 6 Sub | 7 Enc RTF | 8 Search RTF | 9 Total RTF | 10 Step Hyps | 11 Step Word End Hyps | 12 Step Trees
---------------------------------------------------------------+------------+-------+-------+-------+-------+-----------+--------------+-------------+--------------+-----------------------+--------------
  1__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.2 |  dev-clean |   2.3 |   0.2 |   0.3 |   1.8 |    0.2226 |       0.0089 |     0.23149 |      Not set |               Not set |       Not set
  2__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.2 |  dev-other |   5.5 |   0.4 |   0.6 |   4.4 |   0.21993 |       0.0175 |     0.23743 |      Not set |               Not set |       Not set
  3__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.2 | test-clean |   2.6 |   0.2 |   0.4 |   2.0 |   0.22022 |      0.00887 |     0.22909 |      Not set |               Not set |       Not set
  4__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.2 | test-other |   5.6 |   0.5 |   0.7 |   4.4 |   0.22482 |       0.0205 |     0.24532 |      Not set |               Not set |       Not set
  5__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.3 |  dev-clean |   2.3 |   0.1 |   0.3 |   1.8 |   0.20863 |      0.00919 |     0.21782 |      Not set |               Not set |       Not set
  6__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.3 |  dev-other |   5.6 |   0.4 |   0.7 |   4.5 |   0.22954 |      0.02059 |     0.25014 |      Not set |               Not set |       Not set
  7__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.3 | test-clean |   2.6 |   0.1 |   0.4 |   2.0 |    0.2062 |       0.0095 |      0.2157 |      Not set |               Not set |       Not set
  8__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.3 | test-other |   5.6 |   0.4 |   0.7 |   4.4 |   0.24196 |       0.0231 |     0.26506 |      Not set |               Not set |       Not set
  9__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.4 |  dev-clean |   2.3 |   0.1 |   0.3 |   1.8 |   0.21394 |      0.01073 |     0.22467 |      Not set |               Not set |       Not set
 10__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.4 |  dev-other |   5.6 |   0.4 |   0.7 |   4.5 |   0.22007 |      0.02125 |     0.24132 |      Not set |               Not set |       Not set
 11__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.4 | test-clean |   2.6 |   0.1 |   0.5 |   2.0 |   0.21542 |      0.01098 |      0.2264 |      Not set |               Not set |       Not set
 12__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.4 | test-other |   5.6 |   0.4 |   0.8 |   4.5 |   0.22127 |      0.02237 |     0.24364 |      Not set |               Not set |       Not set
 13__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.5 |  dev-clean |   2.3 |   0.1 |   0.4 |   1.8 |   0.24081 |      0.01402 |     0.25484 |      Not set |               Not set |       Not set
 14__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.5 |  dev-other |   5.6 |   0.4 |   0.8 |   4.5 |   0.22686 |      0.02713 |     0.25398 |      Not set |               Not set |       Not set
 15__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.5 | test-clean |   2.7 |   0.1 |   0.5 |   2.1 |   0.20627 |      0.01229 |     0.21855 |      Not set |               Not set |       Not set
 16__hilmes_memristor_v10_0607_v2__recog_tree_4gram_lm0.6_p0.5 | test-other |   5.7 |   0.4 |   0.8 |   4.5 |   0.21667 |       0.0252 |     0.24187 |      Not set |               Not set |       Not set
