Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.2,dev-clean,2.3,1.8,0.3,0.2,0.20924515643083227,0.007750476196897123,0.2169956326277294
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.2,dev-other,5.5,4.4,0.6,0.4,0.22143125800740962,0.01705111723720361,0.23848237524461324
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.2,test-clean,2.6,2.0,0.4,0.2,0.21369304415921947,0.00875821334653122,0.2224512575057507
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.2,test-other,5.6,4.4,0.7,0.5,0.22686293978913402,0.018200669609007687,0.2450636093981417
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.3,dev-clean,2.3,1.8,0.3,0.1,0.20814213988992816,0.008926392632005667,0.21706853252193384
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.3,dev-other,5.6,4.5,0.7,0.4,0.23273391639686472,0.02070960589482302,0.25344352229168776
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.3,test-clean,2.6,2.0,0.4,0.1,0.20737293504382906,0.00924934465920035,0.2166222797030294
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.3,test-other,5.6,4.4,0.7,0.4,0.2163869776321236,0.01931526175809585,0.23570223939021945
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.4,dev-clean,2.3,1.8,0.3,0.1,0.21072781635679397,0.01033963136455763,0.22106744772135162
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.4,dev-other,5.6,4.5,0.7,0.4,0.2491549235211927,0.0262729623678343,0.275427885889027
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.4,test-clean,2.6,2.0,0.5,0.1,0.21916835821113448,0.011152197146902134,0.2303205553580366
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.4,test-other,5.6,4.5,0.8,0.4,0.22942528222656114,0.023762774484248437,0.2531880567108096
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.5,dev-clean,2.3,1.8,0.4,0.1,0.20990437259518074,0.012355309855750528,0.22225968245093125
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.5,dev-other,5.6,4.5,0.8,0.4,0.22172856302990382,0.02302643813404563,0.24475500116394944
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.5,test-clean,2.7,2.1,0.5,0.1,0.20832189398698894,0.012267808960278055,0.220589702947267
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.6_p0.5,test-other,5.7,4.5,0.8,0.4,0.2305393793104561,0.026375577004600987,0.25691495631505706
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.2,dev-clean,2.2,1.8,0.3,0.2,0.21610708046471203,0.007773523814110075,0.2238806042788221
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.2,dev-other,5.4,4.4,0.6,0.5,0.23112620647544346,0.017389412144019806,0.24851561861946325
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.2,test-clean,2.6,2.0,0.4,0.2,0.20727145260530994,0.00795557788248267,0.21522703048779263
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.2,test-other,5.5,4.3,0.7,0.5,0.22498589900054683,0.0188182800797282,0.24380417908027502
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.3,dev-clean,2.2,1.8,0.3,0.2,0.21509204391446965,0.009284251210153693,0.22437629512462334
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.3,dev-other,5.5,4.4,0.6,0.4,0.2302651630813159,0.018988512695275607,0.24925367577659152
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.3,test-clean,2.6,2.0,0.4,0.1,0.215457195626663,0.009214476461439771,0.22467167208810276
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.3,test-other,5.5,4.4,0.7,0.5,0.22721344031699395,0.019043295559299657,0.2462567358762936
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.4,dev-clean,2.2,1.8,0.3,0.1,0.23999964317283162,0.011827471167252647,0.25182711434008426
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.4,dev-other,5.5,4.4,0.7,0.4,0.2214518975596544,0.019998509940163806,0.2414504074998182
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.4,test-clean,2.6,2.0,0.4,0.1,0.20720443665532493,0.010865456211524693,0.21806989286684964
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.4,test-other,5.5,4.4,0.7,0.4,0.22859763270629158,0.020983625759393828,0.2495812584656854
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.5,dev-clean,2.3,1.8,0.3,0.1,0.21836516314115625,0.011755455181498653,0.2301206183226549
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.5,dev-other,5.6,4.5,0.7,0.4,0.22128341860329123,0.02233173329354015,0.24361515189683136
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.5,test-clean,2.6,2.1,0.4,0.1,0.2068988640739972,0.011853609814039373,0.2187524738880366
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.7_p0.5,test-other,5.6,4.4,0.8,0.4,0.24653751804492247,0.028418127993171772,0.27495564603809425
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.2,dev-clean,2.2,1.8,0.3,0.2,0.21071272113728987,0.007521702323750598,0.21823442346104047
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.2,dev-other,5.4,4.3,0.6,0.5,0.25131131955169983,0.01928572718886345,0.2705970467405633
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.2,test-clean,2.6,2.0,0.4,0.2,0.20790164761599475,0.0076869761093716,0.21558862372536636
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.2,test-other,5.5,4.3,0.6,0.6,0.23034346999567265,0.017359738535988618,0.24770320853166125
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.3,dev-clean,2.2,1.8,0.3,0.2,0.2164428400257095,0.00849570200941635,0.22493854203512584
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.3,dev-other,5.4,4.4,0.6,0.5,0.22719675463936467,0.0195158825023312,0.24671263714169586
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.3,test-clean,2.6,2.0,0.4,0.2,0.20715837826247732,0.008845046236568942,0.21600342449904625
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.3,test-other,5.5,4.3,0.7,0.5,0.21843721160716117,0.01759396742714279,0.23603117903430396
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.4,dev-clean,2.3,1.8,0.3,0.2,0.22109463575278523,0.010590521163373641,0.2316851569161589
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.4,dev-other,5.5,4.4,0.6,0.4,0.2510158547558625,0.023121130614471016,0.27413698537033354
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.4,test-clean,2.6,2.0,0.4,0.2,0.21538841001516487,0.009965961779095254,0.22535437179426013
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.4,test-other,5.5,4.4,0.7,0.4,0.21876139339070771,0.019288785185012914,0.2380501785757206
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.5,dev-clean,2.3,1.8,0.3,0.1,0.23919340254353613,0.012723361404347456,0.2519167639478836
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.5,dev-other,5.5,4.4,0.7,0.4,0.23078950826079578,0.021939375788677183,0.25272888404947297
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.5,test-clean,2.6,2.1,0.4,0.1,0.21676971064329356,0.011465891653418894,0.22823560229671244
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.8_p0.5,test-other,5.6,4.4,0.8,0.4,0.2172719582479629,0.02190951747945094,0.23918147572741383
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.2,dev-clean,2.3,1.8,0.2,0.2,0.18956284196186488,0.006997316091840772,0.19656015805370564
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.2,dev-other,5.4,4.3,0.5,0.6,0.20151382347126545,0.014126221490385331,0.21564004496165076
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.2,test-clean,2.6,2.1,0.3,0.2,0.18727461750445484,0.007176148162202104,0.19445076566665695
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.2,test-other,5.6,4.3,0.6,0.7,0.19850304576864344,0.014034197489904485,0.21253724325854792
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.3,dev-clean,2.3,1.8,0.3,0.2,0.2084837812707932,0.008272727674036423,0.21675650894482962
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.3,dev-other,5.4,4.3,0.6,0.5,0.22022050183182576,0.016719638750620717,0.23694014058244647
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.3,test-clean,2.6,2.1,0.3,0.2,0.20748679695626454,0.008249470381291134,0.2157362673375557
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.3,test-other,5.5,4.3,0.6,0.6,0.2262385561459931,0.016896535952509513,0.24313509209850262
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.4,dev-clean,2.3,1.8,0.3,0.2,0.20886155343310825,0.009591938774272142,0.2184534922073804
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.4,dev-other,5.4,4.4,0.6,0.4,0.2274866510683184,0.020448714387227278,0.24793536545554565
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.4,test-clean,2.6,2.1,0.4,0.2,0.2065431875297636,0.00952410283317732,0.21606729036294095
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.4,test-other,5.5,4.4,0.7,0.5,0.21733392818302305,0.01857081634655049,0.23590474452957352
hilmes_memristor_v10_0607__recog_tree_4gram_lm0.9_p0.5,dev-clean,2.3,1.8,0.3,0.2,0.20916321722423908,0.011034648219425071,0.22019786544366415
