Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
ffnn_transducer_qat_encoder__recog_lexfree,dev-clean,2.5,2.1,0.2,0.2,0.22024678380314205,0.0331013884468205,0.25334817224996253
ffnn_transducer_qat_encoder__recog_lexfree,dev-other,6.5,5.4,0.5,0.6,0.23331671416719388,0.024470637908836537,0.25778735207603043
ffnn_transducer_qat_encoder__recog_lexfree,test-clean,2.7,2.2,0.3,0.2,0.21145551156464773,0.02489080863970435,0.2363463202043521
ffnn_transducer_qat_encoder__recog_lexfree,test-other,6.4,5.2,0.6,0.6,0.23124531306347182,0.033415940286782415,0.26466125335025426
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,dev-clean,2.1,1.7,0.2,0.2,0.20468786043001239,0.5833597830902572,0.7880476435202695
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,dev-other,4.9,3.9,0.4,0.6,0.22119251573091722,0.7887334430413712,1.0099259587722884
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,test-clean,2.2,1.8,0.2,0.2,0.20145714555417468,0.5812753251195798,0.7827324706737545
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,test-other,5.0,4.0,0.4,0.6,0.2200032559701494,0.7738009210336123,0.9938041770037617
ffnn_transducer_qat_encoder__recog_tree,dev-clean,2.7,1.9,0.3,0.4,0.21593443529369277,0.03512769588996296,0.2510621311836557
ffnn_transducer_qat_encoder__recog_tree,dev-other,6.3,5.0,0.8,0.5,0.23502457828030404,0.04983292805105629,0.2848575063313603
ffnn_transducer_qat_encoder__recog_tree,test-clean,3.0,2.2,0.4,0.4,0.22078513788527016,0.03926334515158212,0.2600484830368523
ffnn_transducer_qat_encoder__recog_tree,test-other,6.4,4.9,0.8,0.7,0.22132749246188335,0.041254415924931905,0.2625819083868153
ffnn_transducer_qat_encoder__recog_tree_4gram,dev-clean,2.2,1.8,0.2,0.2,0.21390311548782912,0.19815291910212493,0.41205603458995405
ffnn_transducer_qat_encoder__recog_tree_4gram,dev-other,5.2,4.1,0.5,0.6,0.22220151350150216,0.31420366252225856,0.5364051760237607
ffnn_transducer_qat_encoder__recog_tree_4gram,test-clean,2.6,1.9,0.3,0.4,0.2056861520358043,0.185665615493803,0.39135176752960726
ffnn_transducer_qat_encoder__recog_tree_4gram,test-other,5.5,4.3,0.5,0.7,0.21567001844918182,0.28765082712741774,0.5033208455765995
ffnn_transducer_qat_encoder__recog_tree_4gram_bpe-LSTM,dev-clean,2.3,1.7,0.2,0.3,0.2060691499430597,0.5143623630561174,0.7204315129991771
ffnn_transducer_qat_encoder__recog_tree_4gram_bpe-LSTM,dev-other,5.3,4.2,0.5,0.5,0.21060019865860372,0.5509103246293408,0.7615105232879444
ffnn_transducer_qat_encoder__recog_tree_4gram_bpe-LSTM,test-clean,2.4,1.9,0.3,0.3,0.20101200015011605,0.5493882671966809,0.7504002673467969
ffnn_transducer_qat_encoder__recog_tree_4gram_bpe-LSTM,test-other,5.4,4.3,0.5,0.6,0.2098176612372969,0.5485434819993691,0.758361143236666
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM,dev-clean,2.4,1.7,0.2,0.4,0.21723974467571266,0.6150675885091952,0.8323073331849078
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM,dev-other,5.1,4.0,0.5,0.6,0.21635286144583482,0.59382502395133,0.8101778853971647
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM,test-clean,2.5,1.9,0.2,0.3,0.21036025637867664,0.6074137809135569,0.8177740372922335
ffnn_transducer_qat_encoder__recog_tree_bpe-LSTM,test-other,5.3,4.2,0.5,0.6,0.2131762816580226,0.5827886244159644,0.795964906073987
qat_ctc_bpe__recog_lexfree,dev-clean,3.0,2.5,0.3,0.3,0.21466917187915327,0.0005082434342479361,0.2151774153134012
qat_ctc_bpe__recog_lexfree,dev-other,7.4,6.1,0.6,0.7,0.23008076039457762,0.0005059867049929827,0.23058674709957058
qat_ctc_bpe__recog_lexfree,test-clean,3.0,2.5,0.3,0.3,0.17079398122437248,0.0004493287651340268,0.1712433099895065
qat_ctc_bpe__recog_lexfree,test-other,7.4,6.0,0.7,0.7,0.22813096895490198,0.0005036348651122421,0.22863460382001422
qat_ctc_bpe__recog_lexfree_bpe-LSTM,dev-clean,2.1,1.7,0.2,0.2,0.2281195723521579,0.5573519098225661,0.785471482174724
qat_ctc_bpe__recog_lexfree_bpe-LSTM,dev-other,5.3,4.3,0.4,0.5,0.21587369421082164,0.6396502302060103,0.855523924416832
qat_ctc_bpe__recog_lexfree_bpe-LSTM,test-clean,2.3,1.9,0.2,0.2,0.22497816883825916,0.5313960547527842,0.7563742235910433
qat_ctc_bpe__recog_lexfree_bpe-LSTM,test-other,5.3,4.3,0.5,0.5,0.23123438332238075,0.705651047438523,0.9368854307609038
qat_ctc_bpe__recog_tree,dev-clean,2.8,2.1,0.4,0.3,0.2158515093314727,0.0007955622288806716,0.21664707156035337
qat_ctc_bpe__recog_tree,dev-other,7.0,5.5,0.9,0.6,0.23455117986855864,0.000897169792721491,0.23544834966128012
qat_ctc_bpe__recog_tree,test-clean,3.1,2.3,0.4,0.3,0.21205653497027832,0.0007811417934248285,0.21283767676370313
qat_ctc_bpe__recog_tree,test-other,7.0,5.4,0.9,0.7,0.23154548888923104,0.0008359490897211102,0.23238143797895217
qat_ctc_bpe__recog_tree_4gram,dev-clean,2.4,1.9,0.3,0.2,0.213440503099847,0.001161951117102868,0.21460245421694987
qat_ctc_bpe__recog_tree_4gram,dev-other,5.7,4.5,0.6,0.5,0.22545023723777702,0.0016688620689202663,0.2271190993066973
qat_ctc_bpe__recog_tree_4gram,test-clean,2.6,2.1,0.4,0.2,0.21261724728319237,0.0011401114595560888,0.21375735874274845
qat_ctc_bpe__recog_tree_4gram,test-other,5.8,4.5,0.6,0.6,0.22473978730146277,0.0017368318694942777,0.22647661917095704
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,dev-clean,2.2,1.8,0.3,0.2,0.22635277516883193,0.23722097068965453,0.4635737458584865
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,dev-other,5.4,4.3,0.5,0.6,0.2388180632502496,0.26560816968291157,0.5044262329331611
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,test-clean,2.5,2.0,0.3,0.2,0.21614858629077854,0.2919088886233372,0.5080574749141157
qat_ctc_bpe__recog_tree_4gram_bpe-LSTM,test-other,5.6,4.4,0.6,0.6,0.22852481150360202,0.27444369250641226,0.5029685040100143
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.2,dev-clean,2.3,1.8,0.3,0.2,0.2274414016282496,0.010421348364314421,0.23786274999256404
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.2,dev-other,5.6,4.5,0.6,0.5,0.23896250742698816,0.02250231726329719,0.26146482469028537
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.2,test-clean,2.6,2.1,0.4,0.2,0.2195364551628032,0.010580958619081536,0.23011741378188472
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.2,test-other,5.6,4.5,0.7,0.5,0.2364024826317502,0.023150835178204578,0.2595533178099548
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.3,dev-clean,2.4,1.9,0.4,0.2,0.2086353875948092,0.010679814125612327,0.21931520172042154
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.3,dev-other,5.6,4.6,0.6,0.4,0.24215451908007776,0.022547139822964413,0.26470165890304215
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.3,test-clean,2.7,2.1,0.4,0.1,0.2172968288765059,0.011820318852727937,0.22911714772923383
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.3,test-other,5.7,4.5,0.7,0.4,0.23587217930515963,0.023853763205964478,0.25972594251112413
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.4,dev-clean,2.4,1.8,0.4,0.1,0.2212349290737945,0.013473243932182228,0.23470817300597674
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.4,dev-other,5.7,4.6,0.7,0.4,0.2191367770003466,0.023742249466944736,0.24287902646729131
qat_ctc_bpe__recog_tree_4gram_lm0.6_p0.4,test-clean,2.7,2.1,0.4,0.1,0.20654047399505268,0.012599947303639124,0.21914042129869182
