Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_param_sync__recog_lexfree,dev-other,7.4,7.32,6.2,0.5,0.7,0.22826320214986817,0.0005175409524719686,0.22878074310234012
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.6_p0.2_st18.0|14.0_mb2048|256,dev-other,6.6,6.55,5.4,0.8,0.4,0.2266638847371724,2.001917337908233,2.228581222645406
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.6_p0.3_st18.0|14.0_mb2048|256,dev-other,6.2,6.13,5.1,0.7,0.4,0.22466789412640614,1.6509947862671097,1.875662680393516
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.6_p0.4_st18.0|14.0_mb2048|256,dev-other,5.9,5.90,4.9,0.7,0.4,0.2231672169833147,1.425950507464237,1.6491177244475517
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.6_p0.5_st18.0|14.0_mb2048|256,dev-other,5.7,5.67,4.7,0.6,0.4,0.24459961750449943,1.4042487845412919,1.6488484020457912
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.7_p0.2_st18.0|14.0_mb2048|256,dev-other,6.8,6.77,5.5,0.9,0.4,0.21163921385049983,1.9723204704829502,2.18395968433345
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.7_p0.3_st18.0|14.0_mb2048|256,dev-other,6.4,6.33,5.2,0.8,0.4,0.24054248478653184,1.881717499294293,2.122259984080825
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.7_p0.4_st18.0|14.0_mb2048|256,dev-other,6.1,6.04,5.0,0.7,0.4,0.2229111680107082,1.5163717546677626,1.739282922678471
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.7_p0.5_st18.0|14.0_mb2048|256,dev-other,5.9,5.83,4.8,0.7,0.4,0.222938658678699,1.3420041307506492,1.5649427894293482
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.8_p0.2_st18.0|14.0_mb2048|256,dev-other,7.1,7.07,5.7,1.1,0.4,0.2068028081660471,2.0100831439190423,2.2168859520850894
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.8_p0.3_st18.0|14.0_mb2048|256,dev-other,6.6,6.57,5.3,0.9,0.4,0.23748912192126123,2.0265694657616016,2.2640585876828627
qat_ctc_bpe_param_sync__recog_lexfree_bpe-LSTM_lm0.8_p0.4_st18.0|14.0_mb2048|256,dev-other,6.3,6.22,5.1,0.8,0.4,0.23059421283563422,1.7130872142157796,1.9436814270514138
