Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_part10__recog_lexfree,dev-clean,2.9,2.4,0.3,0.2,0.22688386641153369,0.0005232196897492526,0.22740708610128293
qat_ctc_bpe_part10__recog_lexfree,dev-other,7.7,6.4,0.7,0.6,0.23915419827437231,0.0005233985477571629,0.23967759682212947
qat_ctc_bpe_part10__recog_lexfree,test-clean,3.1,2.5,0.3,0.2,0.22373707292701298,0.0005149440908811579,0.22425201701789413
qat_ctc_bpe_part10__recog_lexfree,test-other,7.5,6.1,0.8,0.7,0.23449471724343102,0.0005259359008958722,0.23502065314432688
qat_ctc_bpe_part10__recog_lexfree_bpe-LSTM,dev-clean,2.1,1.7,0.2,0.2,0.1979640460851395,0.44623071649473495,0.6441947625798745
qat_ctc_bpe_part10__recog_lexfree_bpe-LSTM,dev-other,5.2,4.3,0.5,0.5,0.22767707155250544,0.8837684938260478,1.1114455653785533
qat_ctc_bpe_part10__recog_lexfree_bpe-LSTM,test-clean,2.2,1.8,0.3,0.2,0.19108463606570422,0.531390268344581,0.7224749044102853
qat_ctc_bpe_part10__recog_lexfree_bpe-LSTM,test-other,5.3,4.2,0.5,0.6,0.22678342577995828,0.8660235357108453,1.0928069614908036
qat_ctc_bpe_part10__recog_tree,dev-clean,2.9,2.2,0.4,0.3,0.2246386157375446,0.0008227903761768426,0.22546140611372145
qat_ctc_bpe_part10__recog_tree,dev-other,7.2,5.6,1.0,0.6,0.23297848290396825,0.0008433058366135163,0.23382178874058177
qat_ctc_bpe_part10__recog_tree,test-clean,3.2,2.4,0.5,0.3,0.22137492662261918,0.0008102995641233209,0.2221852261867425
qat_ctc_bpe_part10__recog_tree,test-other,7.2,5.5,1.0,0.6,0.23368689187955327,0.0008372505403005858,0.23452414241985386
qat_ctc_bpe_part10__recog_tree_4gram,dev-clean,2.4,1.9,0.3,0.2,0.22383966819981024,0.0012382670201732146,0.22507793521998345
qat_ctc_bpe_part10__recog_tree_4gram,dev-other,5.7,4.5,0.6,0.5,0.22894038223988902,0.0018350597217325743,0.23077544196162159
qat_ctc_bpe_part10__recog_tree_4gram,test-clean,2.6,2.1,0.4,0.2,0.1879185410118596,0.0011349542216675375,0.18905349523352713
qat_ctc_bpe_part10__recog_tree_4gram,test-other,5.8,4.5,0.7,0.6,0.22452161584330063,0.0018531632877663172,0.22637477913106696
qat_ctc_bpe_part10__recog_tree_4gram_bpe-LSTM,dev-clean,2.3,1.8,0.3,0.2,0.19811089545868174,0.3002511851531659,0.49836208061184767
