Experiment Name,Dataset,WER,WER2,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
qat_ctc_bpe_w4_a8__recog_lexfree,dev-other,8.3,8.27,6.9,0.6,0.8,0.21229202991105073,0.0005072957560294331,0.21279932566708015
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM,dev-other,5.4,5.42,4.4,0.5,0.6,0.2458513216272509,0.9428293694211148,1.1886806910483658
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.6_p0.2,dev-other,7.3,7.24,5.9,0.9,0.4,0.25545684945825403,2.5458895188348594,2.8013463682931135
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.6_p0.3,dev-other,6.8,6.71,5.5,0.8,0.4,0.24940297088843977,2.0988667370317837,2.3482697079202235
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.6_p0.4,dev-other,6.4,6.36,5.3,0.7,0.4,0.24450386917621172,1.8278751609732973,2.072379030149509
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.6_p0.5,dev-other,6.1,6.10,5.0,0.7,0.4,0.23972367126724953,1.6655402314255165,1.9052639026927662
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.7_p0.2,dev-other,7.6,7.55,6.1,1.0,0.4,0.23817420028637531,2.5319110842028176,2.770085284489193
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.7_p0.3,dev-other,7.0,6.98,5.7,0.9,0.4,0.23016434654911913,2.1338650971232997,2.3640294436724187
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.7_p0.4,dev-other,6.6,6.58,5.4,0.8,0.4,0.23672992795139985,1.9674184455112276,2.2041483734626275
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.7_p0.5,dev-other,6.4,6.31,5.2,0.8,0.4,0.2358362375502582,1.6422783734250486,1.8781146109753066
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.8_p0.2,dev-other,8.1,7.95,6.4,1.2,0.4,0.2485541558510276,2.7504475460025946,2.999001701853622
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.8_p0.3,dev-other,7.3,7.27,5.9,1.0,0.4,0.24873302474793546,2.4513080687687876,2.7000410935167234
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.8_p0.4,dev-other,6.9,6.85,5.6,0.9,0.4,0.2301728656108292,1.9910861577321053,2.2212590233429346
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.8_p0.5,dev-other,6.6,6.57,5.3,0.9,0.4,0.25481291805800177,1.9837484591936099,2.238561377251612
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.9_p0.2,dev-other,8.8,8.62,6.7,1.6,0.4,0.25260097290364636,2.9071162754310738,3.15971724833472
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.9_p0.3,dev-other,7.8,7.71,6.1,1.2,0.4,0.2543837303578751,2.5333685746776085,2.7877523050354838
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.9_p0.4,dev-other,7.3,7.19,5.8,1.1,0.4,0.2443866079882683,2.2478957941904567,2.4922824021787253
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm0.9_p0.5,dev-other,7.0,6.89,5.5,1.0,0.4,0.23715523124047766,1.8547561390450218,2.0919113702854992
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.0_p0.2,dev-other,10.1,9.83,7.2,2.5,0.4,0.23344653331732926,2.7973710072119347,3.030817540529264
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.0_p0.3,dev-other,8.7,8.54,6.6,1.7,0.4,0.23142499570218464,2.5020688437667276,2.7334938394689123
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.0_p0.4,dev-other,7.9,7.76,6.1,1.3,0.4,0.2562817508504996,2.58514343784143,2.8414251886919297
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.0_p0.5,dev-other,7.5,7.37,5.8,1.2,0.5,0.2303340279722143,1.9529334341764872,2.1832674621487014
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.1_p0.2,dev-other,13.0,12.41,8.0,4.6,0.4,0.23768251753537223,2.922809961603243,3.160492479138615
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.1_p0.3,dev-other,10.5,10.23,7.2,2.9,0.4,0.23901483100157556,2.6538846447389943,2.8928994757405695
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.1_p0.4,dev-other,9.1,8.94,6.7,2.0,0.5,0.24757197193696814,2.4997123159528383,2.7472842878898063
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.1_p0.5,dev-other,8.4,8.22,6.3,1.5,0.5,0.24530330677208437,2.231332248044608,2.4766355548166925
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.2_p0.3,dev-other,14.5,13.75,8.5,5.4,0.5,0.23329813481891087,2.785516244237431,3.018814379056342
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.2_p0.4,dev-other,12.0,11.63,7.8,3.6,0.6,0.23792733136782113,2.5321512453993646,2.770078576767186
qat_ctc_bpe_w4_a8__recog_lexfree_bpe-LSTM_lm1.2_p0.5,dev-other,10.5,10.24,7.3,2.5,0.7,0.24549457335466135,2.3926447062547176,2.638139279609379
qat_ctc_bpe_w4_a8__recog_tree,dev-other,7.7,7.59,6.0,0.9,0.7,0.21011797819705164,0.0008014475426018307,0.21091942573965347
qat_ctc_bpe_w4_a8__recog_tree_4gram,dev-other,5.9,5.88,4.7,0.6,0.6,0.2259545927422624,0.0021738746555726024,0.22812846739783502
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.6_p0.2,dev-other,5.8,5.79,4.7,0.6,0.5,0.20727692298394418,0.023009786113930012,0.2302867090978742
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.6_p0.3,dev-other,5.9,5.81,4.7,0.7,0.5,0.2047937475132356,0.022908167263010884,0.2277019147762465
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.6_p0.4,dev-other,5.9,5.84,4.7,0.7,0.4,0.21850830450107273,0.030382719374062603,0.24889102387513531
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.6_p0.5,dev-other,6.0,5.92,4.8,0.8,0.4,0.21360272156189292,0.03121485779011517,0.24481757935200807
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.7_p0.2,dev-other,5.8,5.72,4.6,0.6,0.6,0.21324471855124869,0.022694525366231698,0.2359392439174804
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.7_p0.3,dev-other,5.8,5.74,4.6,0.6,0.5,0.228796116105069,0.02945495096560518,0.2582510670706742
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.7_p0.4,dev-other,5.8,5.76,4.7,0.7,0.5,0.21731925197482568,0.02812135762751516,0.24544060960234085
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.7_p0.5,dev-other,5.9,5.82,4.7,0.7,0.4,0.21462189821236213,0.030357903029171303,0.24497980124153343
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.8_p0.2,dev-other,5.7,5.67,4.5,0.5,0.6,0.22707800424247315,0.024196391393316967,0.2512743956357901
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.8_p0.3,dev-other,5.7,5.69,4.6,0.6,0.6,0.2053338829579284,0.022558828152820225,0.22789271111074863
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.8_p0.4,dev-other,5.8,5.71,4.6,0.6,0.5,0.21881982023010493,0.026740830015746578,0.24556065024585153
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.8_p0.5,dev-other,5.8,5.76,4.7,0.7,0.4,0.22293333957696737,0.031548569868759986,0.25448190944572735
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.9_p0.2,dev-other,5.8,5.75,4.5,0.5,0.7,0.2065708519829825,0.01885089874145433,0.22542175072443682
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.9_p0.3,dev-other,5.7,5.69,4.5,0.6,0.6,0.21857400893615472,0.0234611945574954,0.24203520349365013
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.9_p0.4,dev-other,5.7,5.70,4.6,0.6,0.5,0.21647762620348435,0.024680223756990617,0.24115784996047496
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm0.9_p0.5,dev-other,5.8,5.73,4.6,0.7,0.5,0.20571726939875692,0.025524135270680686,0.2312414046694376
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.0_p0.2,dev-other,5.9,5.85,4.6,0.5,0.8,0.21838744243714955,0.02238135931806634,0.2407688017552159
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.0_p0.3,dev-other,5.8,5.80,4.6,0.5,0.7,0.21200869539207254,0.021517857954140854,0.23352655334621342
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.0_p0.4,dev-other,5.8,5.76,4.6,0.6,0.6,0.21370445240901279,0.023698353836904596,0.2374028062459174
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.0_p0.5,dev-other,5.8,5.78,4.6,0.6,0.5,0.22478145902574767,0.028366119362617806,0.2531475783883655
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.1_p0.2,dev-other,6.0,6.01,4.6,0.5,1.0,0.21254213157878138,0.019350296934612782,0.23189242851339417
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.1_p0.3,dev-other,5.9,5.87,4.6,0.5,0.8,0.20577077462595117,0.0190618479280909,0.22483262255404207
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.1_p0.4,dev-other,5.9,5.89,4.6,0.6,0.7,0.2056069716058003,0.02185669603191987,0.2274636676377202
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.1_p0.5,dev-other,5.9,5.91,4.7,0.6,0.6,0.21309243270297437,0.025501200775948064,0.23859363347892246
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.2_p0.2,dev-other,6.3,6.26,4.6,0.4,1.3,0.20551267381964855,0.016963908373502,0.22247658219315056
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.2_p0.3,dev-other,6.1,6.09,4.6,0.5,1.0,0.2158636270767313,0.02114160367804304,0.23700523075477434
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.2_p0.4,dev-other,6.1,6.07,4.7,0.5,0.9,0.2169443998619854,0.0227953745266832,0.23973977438866861
qat_ctc_bpe_w4_a8__recog_tree_4gram_lm1.2_p0.5,dev-other,6.1,6.04,4.7,0.6,0.8,0.22018219984232898,0.025260651750527194,0.2454428515928562
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM,dev-other,5.5,5.50,4.4,0.5,0.5,0.21743806985112382,0.29193361911102367,0.5093716889621475
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.6_p0.2,dev-other,5.6,5.57,4.5,0.6,0.5,0.23176826472405426,1.0837894336369196,1.315557698360974
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.6_p0.3,dev-other,5.6,5.58,4.5,0.7,0.4,0.23443663472026663,1.0883722083427863,1.322808843063053
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.6_p0.4,dev-other,5.7,5.64,4.6,0.7,0.4,0.23707921223603756,1.2131516967876799,1.4502309090237173
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.6_p0.5,dev-other,5.8,5.72,4.6,0.8,0.4,0.24223850068036593,1.2571947596217965,1.4994332603021623
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.7_p0.2,dev-other,5.5,5.49,4.5,0.5,0.5,0.22804785967993105,0.9778103300606215,1.2058581897405525
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.7_p0.3,dev-other,5.5,5.48,4.5,0.6,0.4,0.24326966598241223,1.1175686084262348,1.3608382744086471
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.7_p0.4,dev-other,5.6,5.53,4.5,0.7,0.4,0.23605801431352566,1.055476882565519,1.2915348968790445
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.7_p0.5,dev-other,5.7,5.61,4.5,0.7,0.4,0.24536344220661258,1.3810931181414063,1.626456560348019
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.8_p0.2,dev-other,5.5,5.45,4.4,0.5,0.5,0.23609520211365714,0.9301711374168959,1.1662663395305533
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.8_p0.3,dev-other,5.5,5.44,4.4,0.6,0.5,0.22685995030112927,0.9256065983910459,1.1524665486921752
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.8_p0.4,dev-other,5.5,5.46,4.4,0.6,0.4,0.22705064966808253,0.9547978112222278,1.1818484608903104
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.8_p0.5,dev-other,5.6,5.52,4.5,0.7,0.4,0.23749188475228156,1.0168553308658264,1.254347215618108
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.9_p0.2,dev-other,5.4,5.39,4.3,0.5,0.6,0.2281443904518541,0.8973963353535885,1.1255407258054426
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.9_p0.3,dev-other,5.4,5.40,4.4,0.5,0.5,0.23077231148382438,0.9402831439612656,1.17105545544509
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.9_p0.4,dev-other,5.5,5.43,4.4,0.6,0.5,0.2473129607697149,0.9150129488712159,1.1623259096409309
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm0.9_p0.5,dev-other,5.5,5.49,4.4,0.7,0.4,0.23706001381140057,1.179037154208985,1.4160971680203855
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.0_p0.2,dev-other,5.4,5.35,4.3,0.5,0.6,0.2272822109000512,0.8282443716026885,1.0555265825027396
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.0_p0.3,dev-other,5.4,5.35,4.3,0.5,0.5,0.2258703587537336,0.8285522629432639,1.0544226216969974
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.0_p0.4,dev-other,5.4,5.41,4.4,0.6,0.5,0.23841986693541112,0.9358727340768577,1.1742926010122687
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.0_p0.5,dev-other,5.5,5.47,4.4,0.6,0.4,0.23784775208108805,0.959858694167707,1.197706446248795
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.1_p0.2,dev-other,5.4,5.41,4.3,0.4,0.7,0.22620603887380344,0.7619873874523769,0.9881934263261803
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.1_p0.3,dev-other,5.4,5.37,4.3,0.5,0.6,0.24118507053969165,0.9060614332881799,1.1472465038278716
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.1_p0.4,dev-other,5.4,5.41,4.4,0.6,0.5,0.21823808753323717,0.7954763861867838,1.013714473720021
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.1_p0.5,dev-other,5.5,5.48,4.4,0.6,0.5,0.2223449590463894,0.8076144644858787,1.029959423532268
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.2_p0.2,dev-other,5.5,5.49,4.2,0.4,0.8,0.22250738977943682,0.7798529539424426,1.0023603437218793
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.2_p0.3,dev-other,5.4,5.41,4.3,0.5,0.7,0.24295689089858552,0.9888952541702756,1.231852145068861
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.2_p0.4,dev-other,5.5,5.44,4.3,0.5,0.6,0.23316539141674644,0.8014141465956702,1.0345795380124168
qat_ctc_bpe_w4_a8__recog_tree_bpe-LSTM_lm1.2_p0.5,dev-other,5.5,5.47,4.4,0.6,0.5,0.24610670524941622,0.9590497140681462,1.2051564193175623
