Experiment Name,Dataset,WER,WERsub,WERinsert,WERDel,RTFEnc,RTCSearch,TotalRTF
ffnn_transducer_qat_encoder__recog_lexfree,dev-clean,2.5,2.1,0.2,0.2,0.21940427720107072,0.030397076472479693,0.2498013536735504
ffnn_transducer_qat_encoder__recog_lexfree,dev-other,6.5,5.4,0.5,0.6,0.23208630898868896,0.031143661225581057,0.26322997021427
ffnn_transducer_qat_encoder__recog_lexfree,test-clean,2.7,2.2,0.3,0.2,0.22540429324906391,0.03082284950137431,0.25622714275043823
ffnn_transducer_qat_encoder__recog_lexfree,test-other,6.4,5.2,0.6,0.6,0.2269853670776237,0.02490221652605875,0.25188758360368246
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,dev-clean,2.2,1.7,0.2,0.3,0.21726516535897683,0.5847957294594436,0.8020608948184204
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,dev-other,5.0,3.8,0.4,0.9,0.22610046556072005,0.6191554904078576,0.8452559559685776
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,test-clean,2.2,1.8,0.2,0.3,0.2098867994974213,0.4969499272024885,0.7068367266999098
ffnn_transducer_qat_encoder__recog_lexfree_bpe-LSTM,test-other,5.4,3.9,0.4,1.0,0.2273442917441479,0.6566833481395608,0.8840276398837087
ffnn_transducer_qat_encoder__recog_tree,dev-clean,2.7,1.9,0.3,0.4,0.20860423697871563,0.03228078960766333,0.24088502658637898
ffnn_transducer_qat_encoder__recog_tree,dev-other,6.3,5.0,0.8,0.5,0.23020747855690185,0.04662529976888648,0.27683277832578834
ffnn_transducer_qat_encoder__recog_tree,test-clean,3.0,2.2,0.4,0.4,0.21663601540688412,0.040713194784807435,0.25734921019169155
ffnn_transducer_qat_encoder__recog_tree,test-other,6.4,4.9,0.8,0.7,0.2276159914330738,0.04543397555308942,0.27304996698616324
ffnn_transducer_qat_encoder__recog_tree_4gram,dev-clean,2.3,1.8,0.2,0.3,0.20929315835851486,0.09904433550817791,0.3083374938666928
ffnn_transducer_qat_encoder__recog_tree_4gram,dev-other,5.4,4.0,0.4,0.9,0.22371776356093964,0.1831276606655474,0.40684542422648706
ffnn_transducer_qat_encoder__recog_tree_4gram,test-clean,2.7,1.9,0.3,0.5,0.2112096365324724,0.11024840575432598,0.3214580422867984
ffnn_transducer_qat_encoder__recog_tree_4gram,test-other,5.7,4.2,0.5,1.1,0.22105563059385008,0.18206880777144988,0.4031244383653
ffnn_transducer_qat_encoder__recog_tree_4gram_bpe-LSTM,dev-clean,2.3,1.7,0.2,0.4,0.28098066296863916,0.667020678003651,0.9480013409722902
