                                                                                                            Experiments |  2 corpus | 3 WER | 4 Del | 5 Ins | 6 Sub | 7 Enc RTF | 8 Search RTF | 9 Total RTF |             10 Step Hyps |                 11 Step Word End Hyps |                        12 Step Trees
------------------------------------------------------------------------------------------------------------------------+-----------+-------+-------+-------+-------+-----------+--------------+-------------+--------------------------+---------------------------------------+-------------------------------------
                                                                 1__ffnn_transducer_bpe_highbs_200epochs__recog_lexfree | dev-other |   5.9 |   0.5 |   0.5 |   4.8 |   0.08174 |      0.02322 |     0.10496 | 0.00/0.00/0.00/0.00/0.00 |              0.00/0.00/0.00/0.00/0.00 |             0.00/0.00/0.00/0.00/0.00
                                                            2__ffnn_transducer_bpe_highbs_200epochs__recog_tree_mbs1024 | dev-other |   5.7 |   0.4 |   0.8 |   4.5 |   0.07813 |       0.1982 |     0.27632 | 0.00/0.00/0.00/0.00/0.00 |         19.63/16.00/43.00/77.00/88.00 |             1.00/1.00/1.00/1.00/1.00
                                                3__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.0_elm0.6 | dev-other |   4.8 |   0.6 |   0.4 |   3.8 |   0.08203 |      0.27704 |     0.35907 | 0.00/0.00/0.00/0.00/0.00 |      41.19/17.00/85.00/493.00/1286.00 |    56.52/29.00/117.00/521.00/1317.00
                                                4__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.0_elm0.7 | dev-other |   4.9 |   0.7 |   0.4 |   3.7 |   0.07424 |      0.27613 |     0.35037 | 0.00/0.00/0.00/0.00/0.00 |      42.81/16.00/90.00/522.00/1306.00 |    56.04/28.00/116.00/544.00/1306.00
                                                5__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.0_elm0.8 | dev-other |   5.0 |   0.9 |   0.4 |   3.6 |   0.07987 |      0.30248 |     0.38236 | 0.00/0.00/0.00/0.00/0.00 |      45.31/16.00/99.00/554.59/1330.00 |    56.89/27.00/119.00/570.00/1361.00
                                                6__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.0_elm0.9 | dev-other |   5.3 |   1.3 |   0.4 |   3.6 |   0.08742 |      0.34501 |     0.43243 | 0.00/0.00/0.00/0.00/0.00 |     48.51/16.00/110.00/587.00/1341.00 |    58.79/26.00/125.00/597.00/1344.00
                                                7__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.0_elm1.0 | dev-other |   6.0 |   2.2 |   0.3 |   3.5 |   0.08507 |      0.35845 |     0.44352 | 0.00/0.00/0.00/0.00/0.00 |     52.10/16.00/124.00/615.00/1324.00 |    61.28/25.00/136.00/623.00/1327.00
                                                8__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.0_elm1.1 | dev-other |   7.3 |   3.6 |   0.3 |   3.5 |   0.08685 |      0.39214 |     0.47899 | 0.00/0.00/0.00/0.00/0.00 |     55.88/16.00/140.00/642.00/1300.00 |    64.13/25.00/149.00/650.00/1312.00
                                                9__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.0_elm1.2 | dev-other |   9.7 |   5.9 |   0.3 |   3.5 |   0.07985 |      0.37718 |     0.45702 | 0.00/0.00/0.00/0.00/0.00 |     59.79/16.00/157.00/669.00/1291.00 |    67.21/24.00/165.00/674.00/1296.00
                                               10__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.1_elm0.6 | dev-other |   4.8 |   0.5 |   0.5 |   3.8 |   0.08664 |      0.37149 |     0.45813 | 0.00/0.00/0.00/0.00/0.00 |      45.36/19.00/96.00/530.00/1310.00 |    60.93/32.00/127.00/553.00/1353.00
                                               11__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.1_elm0.7 | dev-other |   4.8 |   0.5 |   0.4 |   3.8 |   0.08133 |      0.39047 |      0.4718 | 0.00/0.00/0.00/0.00/0.00 |     47.01/18.00/102.00/558.00/1316.00 |    60.27/30.00/126.00/575.00/1317.00
                                               12__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.1_elm0.8 | dev-other |   4.8 |   0.7 |   0.4 |   3.7 |   0.08664 |      0.41902 |     0.50565 | 0.00/0.00/0.00/0.00/0.00 |     49.72/17.00/111.00/588.59/1318.00 |    61.25/28.00/129.00/602.00/1322.00
                                               13__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.1_elm0.9 | dev-other |   4.9 |   0.8 |   0.4 |   3.7 |   0.07451 |      0.38127 |     0.45578 | 0.00/0.00/0.00/0.00/0.00 |     53.26/17.00/124.00/624.59/1335.00 |    63.44/28.00/138.00/633.00/1352.00
                                               14__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.1_elm1.0 | dev-other |   5.2 |   1.2 |   0.4 |   3.6 |   0.08549 |      0.46614 |     0.55162 | 0.00/0.00/0.00/0.00/0.00 |     57.36/17.00/140.00/654.59/1313.00 |    66.43/27.00/151.00/662.00/1313.00
                                               15__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.1_elm1.1 | dev-other |   5.9 |   2.0 |   0.3 |   3.6 |   0.08823 |      0.45524 |     0.54347 | 0.00/0.00/0.00/0.00/0.00 |     61.62/17.00/158.00/683.00/1363.00 |    69.78/26.00/167.00/689.00/1363.00
                                               16__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.1_elm1.2 | dev-other |   7.1 |   3.2 |   0.3 |   3.6 |   0.07719 |      0.44894 |     0.52613 | 0.00/0.00/0.00/0.00/0.00 |     65.72/17.00/176.00/703.59/1369.00 |    73.07/26.00/184.00/709.00/1370.00
                                               17__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.2_elm0.6 | dev-other |   4.8 |   0.4 |   0.5 |   3.9 |   0.08633 |        0.413 |     0.49933 | 0.00/0.00/0.00/0.00/0.00 |     52.23/21.00/116.00/584.00/1331.00 |    68.33/35.00/145.00/604.00/1331.00
                                               18__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.2_elm0.7 | dev-other |   4.7 |   0.5 |   0.5 |   3.8 |   0.08004 |      0.39905 |      0.4791 | 0.00/0.00/0.00/0.00/0.00 |     53.98/20.00/122.00/612.00/1360.00 |    67.48/33.00/144.00/626.00/1363.00
                                               19__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.2_elm0.8 | dev-other |   4.7 |   0.5 |   0.4 |   3.8 |   0.08867 |      0.46267 |     0.55134 | 0.00/0.00/0.00/0.00/0.00 |     56.90/20.00/133.00/643.00/1369.00 |    68.49/31.00/148.00/653.00/1369.00
                                               20__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.2_elm0.9 | dev-other |   4.8 |   0.7 |   0.4 |   3.7 |   0.07889 |      0.42963 |     0.50852 | 0.00/0.00/0.00/0.00/0.00 |     60.72/20.00/148.00/673.00/1396.00 |    70.87/30.00/159.00/680.00/1396.00
                                               21__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.2_elm1.0 | dev-other |   4.9 |   0.8 |   0.4 |   3.7 |   0.08182 |      0.44425 |     0.52607 | 0.00/0.00/0.00/0.00/0.00 |     65.22/19.00/167.00/703.00/1388.00 |    74.22/30.00/176.00/709.00/1388.00
                                               22__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.2_elm1.1 | dev-other |   5.2 |   1.1 |   0.4 |   3.7 |   0.08771 |      0.51923 |     0.60694 | 0.00/0.00/0.00/0.00/0.00 |     70.00/20.00/188.00/730.00/1445.00 |    78.06/29.00/196.00/735.00/1446.00
                                               23__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.2_elm1.2 | dev-other |   6.0 |   2.1 |   0.3 |   3.6 |   0.07921 |      0.49438 |     0.57359 | 0.00/0.00/0.00/0.00/0.00 |     74.54/20.00/209.00/749.00/1416.00 |    81.79/28.00/216.00/753.00/1417.00
                                               24__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.3_elm0.6 | dev-other |   4.8 |   0.4 |   0.5 |   3.9 |   0.05998 |      0.32524 |     0.38522 | 0.00/0.00/0.00/0.00/0.00 |     63.33/25.00/149.00/660.00/1402.00 |    80.31/41.00/175.00/676.00/1402.00
                                               25__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.3_elm0.7 | dev-other |   4.8 |   0.4 |   0.5 |   3.8 |   0.08836 |       0.4969 |     0.58527 | 0.00/0.00/0.00/0.00/0.00 |     65.34/24.00/157.00/686.00/1422.00 |    79.33/38.00/176.00/697.00/1422.00
                                               26__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.3_elm0.8 | dev-other |   4.8 |   0.5 |   0.4 |   3.8 |    0.0795 |      0.46717 |     0.54667 | 0.00/0.00/0.00/0.00/0.00 |     68.53/23.00/171.00/714.00/1493.00 |    80.36/36.00/184.00/722.00/1494.00
                                               27__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.3_elm0.9 | dev-other |   4.8 |   0.5 |   0.4 |   3.8 |   0.08649 |      0.51178 |     0.59827 | 0.00/0.00/0.00/0.00/0.00 |     72.62/23.00/190.00/742.00/1456.00 |    82.84/34.00/199.00/747.00/1457.00
                                               28__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.3_elm1.0 | dev-other |   4.8 |   0.7 |   0.4 |   3.8 |   0.07554 |      0.48109 |     0.55663 | 0.00/0.00/0.00/0.00/0.00 |     77.37/23.00/212.00/767.00/1436.00 |    86.33/33.00/220.00/771.00/1437.00
                                               29__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.3_elm1.1 | dev-other |   5.0 |   0.8 |   0.4 |   3.8 |   0.08405 |      0.56244 |     0.64649 | 0.00/0.00/0.00/0.00/0.00 |     82.42/23.00/236.00/789.00/1417.00 |    90.39/32.00/243.00/793.00/1417.00
                                               30__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.3_elm1.2 | dev-other |   5.4 |   1.3 |   0.4 |   3.8 |   0.07613 |       0.5384 |     0.61452 | 0.00/0.00/0.00/0.00/0.00 |     87.27/23.00/262.00/804.00/1491.00 |    94.42/31.00/268.00/808.00/1492.00
                                               31__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.4_elm0.6 | dev-other |   4.9 |   0.4 |   0.5 |   4.0 |   0.07987 |      0.50987 |     0.58974 | 0.00/0.00/0.00/0.00/0.00 |     81.33/31.00/206.00/779.00/1522.00 |    99.50/49.00/229.00/788.00/1523.00
                                               32__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.4_elm0.7 | dev-other |   4.8 |   0.4 |   0.5 |   3.9 |   0.08605 |      0.57805 |      0.6641 | 0.00/0.00/0.00/0.00/0.00 |     83.55/29.00/219.00/797.00/1489.00 |    98.24/45.00/234.00/804.00/1490.00
                                               33__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.4_elm0.8 | dev-other |   4.8 |   0.4 |   0.5 |   3.9 |   0.07444 |       0.5242 |     0.59863 | 0.00/0.00/0.00/0.00/0.00 |     87.03/28.00/237.00/817.00/1446.00 |    99.25/43.00/248.00/823.00/1447.00
                                               34__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.4_elm0.9 | dev-other |   4.8 |   0.5 |   0.4 |   3.9 |   0.08668 |      0.62126 |     0.70795 | 0.00/0.00/0.00/0.00/0.00 |     91.29/28.00/260.00/837.00/1529.00 |   101.67/40.00/268.00/842.00/1530.00
                                               35__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.4_elm1.0 | dev-other |   4.8 |   0.6 |   0.4 |   3.9 |   0.08016 |      0.59599 |     0.67615 | 0.00/0.00/0.00/0.00/0.00 |     96.11/28.00/286.00/854.00/1490.00 |   105.10/38.00/293.00/857.00/1491.00
                                               36__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.4_elm1.1 | dev-other |   4.9 |   0.7 |   0.4 |   3.9 |   0.08532 |      0.66214 |     0.74746 | 0.00/0.00/0.00/0.00/0.00 |    101.13/28.00/314.00/866.00/1478.00 |   109.04/37.00/320.00/869.00/1479.00
                                               37__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.4_elm1.2 | dev-other |   5.1 |   0.9 |   0.4 |   3.9 |   0.07635 |      0.65394 |     0.73028 | 0.00/0.00/0.00/0.00/0.00 |    105.91/27.00/342.00/873.00/1469.00 |   112.94/36.00/347.00/876.00/1469.00
                                               38__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.5_elm0.6 | dev-other |   5.0 |   0.4 |   0.5 |   4.1 |   0.08333 |       0.6363 |     0.71962 | 0.00/0.00/0.00/0.00/0.00 |    109.74/39.00/307.00/929.00/1524.00 |   129.57/62.00/325.00/935.00/1525.00
                                               39__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.5_elm0.7 | dev-other |   4.9 |   0.4 |   0.5 |   4.0 |   0.07565 |      0.62704 |     0.70269 | 0.00/0.00/0.00/0.00/0.00 |    112.04/38.00/325.00/938.00/1579.00 |   127.68/56.00/336.90/942.00/1580.00
                                               40__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.5_elm0.8 | dev-other |   4.9 |   0.4 |   0.5 |   4.0 |   0.08277 |       0.7113 |     0.79407 | 0.00/0.00/0.00/0.00/0.00 |    115.49/36.00/348.00/945.00/1532.00 |   128.22/52.00/356.00/948.00/1533.00
                                               41__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.5_elm0.9 | dev-other |   4.9 |   0.5 |   0.4 |   4.0 |   0.07712 |       0.6714 |     0.74851 | 0.00/0.00/0.00/0.00/0.00 |    119.62/35.00/375.00/952.00/1520.00 |   130.25/49.00/381.00/956.00/1522.00
                                               42__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.5_elm1.0 | dev-other |   4.9 |   0.5 |   0.4 |   3.9 |   0.07514 |      0.67218 |     0.74732 | 0.00/0.00/0.00/0.00/0.00 |    124.05/35.00/403.00/956.59/1503.00 |   133.09/46.00/409.00/959.00/1503.00
                                               43__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.5_elm1.1 | dev-other |   5.0 |   0.6 |   0.4 |   3.9 |   0.07571 |      0.70717 |     0.78288 | 0.00/0.00/0.00/0.00/0.00 |    128.49/35.00/431.00/961.00/1519.00 |   136.33/44.00/436.00/963.00/1519.00
                                               44__ffnn_transducer_bpe_highbs_200epochs__recog_tree_4gram_ilm0.5_elm1.2 | dev-other |   5.1 |   0.8 |   0.4 |   4.0 |   0.07593 |      0.74532 |     0.82125 | 0.00/0.00/0.00/0.00/0.00 |    132.66/34.00/456.00/960.00/1549.00 |   139.55/43.00/460.00/962.00/1550.00
                                            45__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.0_elm0.6 | dev-other |   4.8 |   0.5 |   0.4 |   3.9 |   0.08529 |      1.23216 |     1.31745 | 0.00/0.00/0.00/0.00/0.00 |        31.69/8.00/91.00/296.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            46__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.0_elm0.7 | dev-other |   4.8 |   0.6 |   0.4 |   3.8 |   0.09069 |      1.19442 |      1.2851 | 0.00/0.00/0.00/0.00/0.00 |        28.96/7.00/79.00/285.00/512.00 |             1.00/1.00/1.00/1.00/1.00
                                            47__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.0_elm0.8 | dev-other |   4.8 |   0.7 |   0.4 |   3.7 |   0.08137 |      1.10909 |     1.19047 | 0.00/0.00/0.00/0.00/0.00 |        26.69/7.00/70.00/275.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            48__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.0_elm0.9 | dev-other |   4.8 |   0.8 |   0.4 |   3.6 |   0.07309 |      0.99123 |     1.06432 | 0.00/0.00/0.00/0.00/0.00 |        24.80/6.00/63.00/265.00/512.00 |             1.00/1.00/1.00/1.00/1.00
                                            49__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.0_elm1.0 | dev-other |   4.9 |   1.0 |   0.3 |   3.5 |   0.08032 |      1.01105 |     1.09137 | 0.00/0.00/0.00/0.00/0.00 |        23.18/6.00/58.00/255.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            50__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.0_elm1.1 | dev-other |   5.1 |   1.3 |   0.3 |   3.4 |   0.08573 |      0.97785 |     1.06358 | 0.00/0.00/0.00/0.00/0.00 |        21.66/6.00/53.00/243.00/512.00 |             1.00/1.00/1.00/1.00/1.00
                                            51__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.0_elm1.2 | dev-other |   5.3 |   1.6 |   0.3 |   3.4 |   0.08202 |      0.96503 |     1.04705 | 0.00/0.00/0.00/0.00/0.00 |        20.33/6.00/49.00/230.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            52__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.1_elm0.6 | dev-other |   4.7 |   0.4 |   0.5 |   3.9 |   0.08637 |      1.35613 |      1.4425 | 0.00/0.00/0.00/0.00/0.00 |        31.71/7.00/91.00/299.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            53__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.1_elm0.7 | dev-other |   4.7 |   0.5 |   0.4 |   3.8 |   0.09132 |      1.29903 |     1.39035 | 0.00/0.00/0.00/0.00/0.00 |        28.81/7.00/79.00/287.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            54__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.1_elm0.8 | dev-other |   4.7 |   0.6 |   0.4 |   3.7 |   0.07759 |      1.13269 |     1.21028 | 0.00/0.00/0.00/0.00/0.00 |        26.50/7.00/69.00/276.00/511.00 |             1.00/1.00/1.00/1.00/1.00
                                            55__ffnn_transducer_bpe_highbs_200epochs__recog_tree_bpe-LSTM_ilm0.1_elm0.9 | dev-other |   4.7 |   0.6 |   0.4 |   3.6 |   0.07713 |       1.0989 |     1.17603 | 0.00/0.00/0.00/0.00/0.00 |        24.52/6.00/63.00/266.00/511.00 |             1.00/1.00/1.00/1.00/1.00
