{
1: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.0001650000000001e-05,
':meta:epoch_num_train_steps': 233,
':meta:epoch_train_time_secs': 225,
':meta:global_train_step': 0,
':meta:global_train_step_end': 233,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-11-34-52 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 7.894807145771654,
'dev_loss_ctc_4': 13.506981669418508,
'dev_loss_ctc_8': 14.166806215839216,
'dev_loss_fer': 0.949791239656874,
'devtrain_loss_ce': 7.916623862358458,
'devtrain_loss_ctc_4': 13.828553659031293,
'devtrain_loss_ctc_8': 14.52597322971536,
'devtrain_loss_fer': 0.9485101087586513,
'train_loss_ce': 8.751164044729606,
'train_loss_ctc_4': 24.259038389973053,
'train_loss_ctc_8': 23.956499718299572,
'train_loss_fer': 0.9622578829709069,
}),
2: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.03861e-05,
':meta:epoch_num_train_steps': 231,
':meta:epoch_train_time_secs': 159,
':meta:global_train_step': 233,
':meta:global_train_step_end': 464,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-11-39-56 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 7.06787122719056,
'dev_loss_ctc_4': 9.65431996021692,
'dev_loss_ctc_8': 10.24261434669874,
'dev_loss_fer': 0.949791239656874,
'devtrain_loss_ce': 7.072730013247236,
'devtrain_loss_ctc_4': 9.769083904401487,
'devtrain_loss_ctc_8': 10.388869848567056,
'devtrain_loss_fer': 0.9485101087586513,
'train_loss_ce': 7.445078506233635,
'train_loss_ctc_4': 12.525802899731215,
'train_loss_ctc_8': 13.347583360376126,
'train_loss_fer': 0.9543918114734588,
}),
3: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
':meta:device': 'NVIDIA A10',
':meta:distributed': None,
':meta:effective_learning_rate': 1.0767250000000001e-05,
':meta:epoch_num_train_steps': 231,
':meta:epoch_train_time_secs': 159,
':meta:global_train_step': 464,
':meta:global_train_step_end': 695,
':meta:hostname': 'cn-505',
':meta:returnn': '1.20240513.232708+git.c066ef9c',
':meta:time': '2024-06-03-11-43-24 (UTC+0200)',
':meta:torch': '2.3.0+cu118 (97ff6cfd9c86c5c09d7ce775ab64ec5c99230f5d) (<site-package> in /work/asr3/zeineldeen/hiwis/luca.gaudino/venv/env2/lib/python3.10/site-packages/torch)',
'dev_loss_ce': 6.990340452832024,
'dev_loss_ctc_4': 7.867032931351059,
'dev_loss_ctc_8': 8.023212081826937,
'dev_loss_fer': 0.949791239656874,
'devtrain_loss_ce': 7.01358897156592,
'devtrain_loss_ctc_4': 7.878488440830787,
'devtrain_loss_ctc_8': 8.045478501641288,
'devtrain_loss_fer': 0.9485101087586513,
'train_loss_ce': 7.156313637196331,
'train_loss_ctc_4': 9.139529918366017,
'train_loss_ctc_8': 9.581834992322344,
'train_loss_fer': 0.9554846827739572,
}),
4: EpochData(learningRate=1.0, error={
':meta:cpu': 'Intel(R) Xeon(R) Silver 4309Y CPU @ 2.80GHz',
