NAME,BEST WER (dev-other),BEST WER (dev-clean),BEST WER (test-other),BEST WER (test-clean),FULL CONFIG PATH
conformer/baseline/,-,-,-,-,-
conf2__baseline_chunk200.100_bs-10000_l2-7e-05_drop-0.05_ffdim-1538_timedsample-2,"ep: 200, WER: 9.05",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/baseline/conf2__baseline_chunk200.100_bs-10000_l2-7e-05_drop-0.05_ffdim-1538_timedsample-2/returnn.config
conf2__baseline_chunk200.100_bs-6144_l2-7e-05_drop-0.05_ffdim-1538,"ep: 190, WER: 9.32","ep: 20, WER: 3.61","ep: 20, WER: 9.53","ep: 20, WER: 3.94",/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/baseline/conf2__baseline_chunk200.100_bs-6144_l2-7e-05_drop-0.05_ffdim-1538/returnn.config
conf2__baseline_chunk200.100_bs-6144_l2-7e-05_drop-0.05_ffdim-1538-no-drop-conv,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/baseline/conf2__baseline_chunk200.100_bs-6144_l2-7e-05_drop-0.05_ffdim-1538-no-drop-conv/returnn.config
conf2__baseline_chunk200.100_bs-7254_l2-7e-05_drop-0.05,"ep: 200, WER: 9.55","ep: 80, WER: 3.79","ep: 90, WER: 9.69","ep: 80, WER: 4.14",/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/baseline/conf2__baseline_chunk200.100_bs-7254_l2-7e-05_drop-0.05/returnn.config
conf2__baseline_chunk200.100_bs-7254_l2-7e-05_drop-0.05_ffdim-1538,"ep: 200, WER: 9.55","ep: 20, WER: 3.79","ep: 20, WER: 9.69","ep: 40, WER: 4.14",/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/baseline/conf2__baseline_chunk200.100_bs-7254_l2-7e-05_drop-0.05_ffdim-1538/returnn.config
conf2__baseline_chunk200.100_bs-7254_l2-7e-05_drop-0.05_ffdim-2048_timedsample-2,"ep: 160, WER: 10.41",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/baseline/conf2__baseline_chunk200.100_bs-7254_l2-7e-05_drop-0.05_ffdim-2048_timedsample-2/returnn.config
conformer/label_smooth/,-,-,-,-,-
conformer__conf__lbl-smoothing-0.0,"ep: 200, WER: 9.6",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/label_smooth/conformer__conf__lbl-smoothing-0.0/returnn.config
conformer__conf__lbl-smoothing-0.05,"ep: 40, WER: 11.55",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/label_smooth/conformer__conf__lbl-smoothing-0.05/returnn.config
conformer__conf__lbl-smoothing-0.1,"ep: 200, WER: 9.79",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/label_smooth/conformer__conf__lbl-smoothing-0.1/returnn.config
conformer__conf__lbl-smoothing-0.15,"ep: 200, WER: 9.58",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/label_smooth/conformer__conf__lbl-smoothing-0.15/returnn.config
conformer__conf__lbl-smoothing-0.2,"ep: 100, WER: 10.44",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/label_smooth/conformer__conf__lbl-smoothing-0.2/returnn.config
conformer/skip_conn/,-,-,-,-,-
conformer__conf__skip-l0-2-4-8-10,"ep: 40, WER: 11.1",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/skip_conn/conformer__conf__skip-l0-2-4-8-10/returnn.config
conformer__conf__skip-l0-4-8,"ep: 200, WER: 9.49",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/skip_conn/conformer__conf__skip-l0-4-8/returnn.config
conformer__conf__skip-l6,"ep: 180, WER: 9.66",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/skip_conn/conformer__conf__skip-l6/returnn.config
conformer__conf__skip-l6-8,"ep: 180, WER: 9.29",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/skip_conn/conformer__conf__skip-l6-8/returnn.config
conformer/tests/,-,-,-,-,-
conf_testbaseline_chunk200.100_bs-4004_l2-0.00007_drop-0.05-v3,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/tests/conf_testbaseline_chunk200.100_bs-4004_l2-0.00007_drop-0.05-v3/returnn.config
conformer/test_new_experiments_struct/,-,-,-,-,-
conformer__conf__decoupled_optim-adam_dec-fact-0.025,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/test_new_experiments_struct/conformer__conf__decoupled_optim-adam_dec-fact-0.025/returnn.config
conformer__conf__decoupled_optim-nadam_dec-fact-0.025,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/test_new_experiments_struct/conformer__conf__decoupled_optim-nadam_dec-fact-0.025/returnn.config
conformer__conf__test-adam_dec-fact-0.025,"ep: 20, WER: 17.87",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/test_new_experiments_struct/conformer__conf__test-adam_dec-fact-0.025/returnn.config
conformer/batch_norm_settings/,-,-,-,-,-
conformer__conf__conv_bn-settings_eps-0.001_moment-0.7,"ep: 100, WER: 37.27",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/batch_norm_settings/conformer__conf__conv_bn-settings_eps-0.001_moment-0.7/returnn.config
conformer__conf__conv_bn-settings_eps-0.001_moment-0.99,"ep: 10, WER: 42.32",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/batch_norm_settings/conformer__conf__conv_bn-settings_eps-0.001_moment-0.99/returnn.config
conformer__conf__conv_bn-settings_eps-1e-05_moment-0.1,"ep: 200, WER: 9.36",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/batch_norm_settings/conformer__conf__conv_bn-settings_eps-1e-05_moment-0.1/returnn.config
conformer__conf__conv_bn-settings_eps-1e-05_moment-0.99-delay_sample,"ep: 10, WER: 51.93",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/batch_norm_settings/conformer__conf__conv_bn-settings_eps-1e-05_moment-0.99-delay_sample/returnn.config
conformer/stoch_depth_traincond/,-,-,-,-,-
conformer__conf__stoch_depth-stoch_depth_traincond,"ep: 180, WER: 9.5",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_crnn_pos-ff_mod1,NONE,NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_crnn_pos-ff_mod1/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-a-l-lscaled_props-v-1,"ep: 100, WER: 10.23",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-a-l-lscaled_props-v-1/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-att_mod,"ep: 100, WER: 10.32",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-att_mod/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-conv_mod,"ep: 180, WER: 9.99",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-conv_mod/returnn.config
conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-ff_mod1,"ep: 200, WER: 9.34",NONE,NONE,NONE,/u/schupp/setups/ping_setup_refactor_tf23/output/conformer/stoch_depth_traincond/conformer__conf__stoch_depth-stoch_depth_traincond_pos_pos-ff_mod1/returnn.config
